gia,khoang_gia_min,khoang_gia_max,thuong_hieu,dong_xe,so_km_da_di,loai_xe,dung_tich_xe,xuat_xu,tuoi_xe,phan_khuc,gia_predict,resid,resid_z,vi_pham_minmax,ngoai_khoang_tin_cay,iso_score,score,is_anomaly
50.0,10.12,11.88,Honda,Dòng khác,8850,Tay côn/Moto,Trên 175 cc,Nhật Bản,13,trung_cap,22.100369999999998,27.899630000000002,4.972085016714728,1,1,1,258.88340066858916,1
65.0,29.53,34.66,Honda,Vision,8000,Tay ga,100 - 175 cc,Việt Nam,1,trung_cap,37.455000000000005,27.544999999999995,4.90879856605354,1,1,1,256.3519426421417,1
25.0,40.73,47.82,Honda,SH,50000,Tay ga,100 - 175 cc,Nước khác,17,trung_cap,55.092666666666645,-30.092666666666645,-5.377086293450489,1,0,1,255.08345173801962,1
40.0,8.52,10.0,Honda,Cub,56000,Xe số,50 - 100 cc,Đang cập nhật,29,trung_cap,10.526999999999994,29.473000000000006,5.25286499268064,1,0,1,250.11459970722564,1
40.0,8.39,9.84,Piaggio,Vespa,13500,Tay ga,100 - 175 cc,Việt Nam,13,pho_thong,13.591999999999999,26.408,5.247714443744336,1,0,1,249.90857774977346,1
45.0,43.32,50.85,Yamaha,R,1500,Tay ga,100 - 175 cc,Hàn Quốc,3,pho_thong,24.55449444,20.44550556,5.229204962955053,0,1,1,249.16819851820216,1
73.0,74.57,87.54,Honda,SH,7500,Tay ga,100 - 175 cc,Nước khác,3,trung_cap,46.611000000000004,26.388999999999996,4.7025014762294095,1,1,1,248.10005904917642,1
50.0,9.54,11.2,Honda,Wave,30000,Xe số,100 - 175 cc,Thái Lan,9,trung_cap,23.784333283333336,26.215666716666664,4.6715688188580184,1,1,1,246.86275275432078,1
49.0,6.02,7.06,Yamaha,Sirius,50000,Xe số,100 - 175 cc,Đang cập nhật,18,pho_thong,30.8471,18.1529,4.6371044539676545,1,1,1,245.48417815870621,1
3.58,27.84,32.68,Honda,Vision,2000,Tay ga,100 - 175 cc,Việt Nam,2,trung_cap,29.121000000000002,-25.541000000000004,-4.564806373742157,1,1,1,242.59225494968635,1
68.686,35.93,42.18,Honda,SH Mode,50000,Tay ga,100 - 175 cc,Việt Nam,7,trung_cap,43.10118500000003,25.584814999999978,4.558988478668663,1,1,1,242.35953914674658,1
63.0,46.52,54.61,Honda,CBR,4000,Tay côn/Moto,100 - 175 cc,Đang cập nhật,1,trung_cap,37.49599999,25.50400001,4.544566422223021,1,1,1,241.78265688892088,1
6.0,41.61,48.85,Yamaha,Exciter,20000,Tay côn/Moto,100 - 175 cc,Việt Nam,15,pho_thong,24.977166666666662,-18.977166666666662,-4.952304101802118,1,0,1,238.09216407208473,1
0.0,62.14,72.95,Honda,SH,50000,Tay ga,100 - 175 cc,Đang cập nhật,6,trung_cap,24.840999999999998,-24.840999999999998,-4.439885990630658,1,1,1,237.59543962522636,1
59.5,38.7,45.44,Honda,Lead,7000,Tay ga,100 - 175 cc,Đang cập nhật,1,trung_cap,34.585,24.915,4.439454840934626,1,1,1,237.57819363738508,1
8.0,26.52,31.14,Honda,Future,74000,Xe số,100 - 175 cc,Việt Nam,16,trung_cap,35.565,-27.564999999999998,-4.9260047386245445,1,0,1,237.0401895449818,1
5.7,8.14,9.56,SYM,Khác,100000,Tay côn/Moto,100 - 175 cc,Đài Loan,6,pho_thong,15.55223330333334,-9.852233303333339,-4.8362776806654155,1,0,1,233.45110722661664,1
43.5,41.9,49.18,Yamaha,Exciter,29800,Tay côn/Moto,100 - 175 cc,Việt Nam,15,pho_thong,22.64041682666667,20.85958317333333,5.336146850339707,0,0,1,233.44587401358834,1
3.6,14.53,17.05,Hãng khác,Khác,50000,Tay côn/Moto,100 - 175 cc,Nước khác,6,pho_thong,25.115383153333333,-21.51538315333333,-4.2991687891771475,1,1,1,231.96675156708594,1
0.00025,140.94,165.46,Honda,CB,1230,Tay côn/Moto,Trên 175 cc,Đang cập nhật,2,trung_cap,24.035172500000026,-24.034922500000025,-4.296035261891293,1,1,1,231.84141047565174,1
0.1,69.27,81.32,Honda,SH,23000,Tay ga,100 - 175 cc,Nước khác,4,trung_cap,23.732999999999976,-23.632999999999974,-4.22430910091824,1,1,1,228.9723640367296,1
0.00037,361.56,424.44,Hãng khác,Khác,8900,Tay côn/Moto,Trên 175 cc,Nước khác,1,pho_thong,21.073233099999992,-21.072863099999992,-4.205991572309437,1,1,1,228.2396628923775,1
4.0,57.96,68.03,Honda,SH,111,Tay ga,100 - 175 cc,Thái Lan,7,trung_cap,27.529000000000007,-23.529000000000007,-4.20574950114168,1,1,1,228.22998004566722,1
55.0,50.6,59.4,Honda,SH Mode,438,Tay ga,100 - 175 cc,Đang cập nhật,18,trung_cap,28.874200000000002,26.125799999999998,4.655531412179486,0,1,1,226.22125648717946,1
48.0,9.23,10.84,Honda,Dream,50000,Xe số,50 - 100 cc,Thái Lan,23,trung_cap,24.914222213333332,23.085777786666668,4.113016069955109,1,1,1,224.5206427982044,1
46.0,36.71,43.1,Honda,Air Blade,7200,Tay ga,100 - 175 cc,Nhật Bản,2,trung_cap,23.162499999999994,22.837500000000006,4.068708989628718,1,1,1,222.7483595851487,1
0.066,55.2,64.8,Honda,SH,35000,Tay ga,100 - 175 cc,Nhật Bản,8,trung_cap,22.798893333333343,-22.732893333333344,-4.063678144287941,1,1,1,222.54712577151764,1
55.0,15.97,18.75,Honda,Air Blade,60000,Tay ga,100 - 175 cc,Việt Nam,10,trung_cap,32.27631904761907,22.72368095238093,4.048397105294488,1,1,1,221.93588421177958,1
78.0,79.14,92.9,Honda,CB,20000,Tay côn/Moto,Trên 175 cc,Nhật Bản,4,trung_cap,55.334362500000005,22.665637499999995,4.0380388048537155,1,1,1,221.52155219414865,1
43.5,41.61,48.85,Yamaha,Exciter,40000,Tay côn/Moto,100 - 175 cc,Việt Nam,15,pho_thong,23.845,19.655,5.025044791401876,0,0,1,221.00179165607506,1
